name,distance,category,latitude,longitude,rating,reviews,description,formatted_address,telephone,tips,hours,station_name
Aesop,969,Hair Salon,43.645295,-79.414554,7.4,16.0,"Aesop is an Australian skin care company established in 1987, offering a range of skin, hair and body care formulations created with meticulous attention to detail. Our considered product range also includes personal fragrance and formulations for the home...","880 Queen St W, Toronto ON M6J 1G3",(416) 532-9623,"Expensive? Yes. Worth it? Hell yes. Just don't eat for the next month. I kid, but really.",Open Daily 11:00-19:00,King St W / Joe Shuster Way
Toronto Public Library,759,Library,43.641226,-79.432647,7.1,11.0,,"1303 Queen St W (at Cowan Ave.), Toronto ON M6K 1L6",(416) 393-7686,"Free passes to Toronto's top museums, art galleries and attractions. Every library, every Saturday at 9am (line-up starts at 8:30). http://www.torontopubliclibrary.ca/museum-arts-passes/",Mon-Fri 9:00-20:30; Sat 9:00-17:00; Sun 13:30-17:00,King St W / Joe Shuster Way
Copenhagen Vegan Cafe & Bakery,655,Bakery,43.64202,-79.430998,,,,"1312 Queen St W, Toronto ON M6K 1L4",(647) 352-1312,Try the Egg and Mushroom English Muffin!,Mon 11:00-20:00; Wed-Fri 11:00-20:00; Sat-Sun 10:00-20:00,King St W / Joe Shuster Way
Fat Choi,831,Vegan and Vegetarian Restaurant,43.646367,-79.419868,,,,"94 Ossington Ave, Toronto ON M6J 2Z4",(416) 901-7667,,Mon 17:00-21:30; Tue-Wed 17:00-22:00; Thu-Fri 17:00-23:00; Sat 17:00-21:00; Sun 17:00-21:30,King St W / Joe Shuster Way
Oasis Pictures,374,Library,43.636274,-79.422039,,,,"6 Pardee Ave, Toronto ON M6K 3H5",(416) 588-6595,,,King St W / Joe Shuster Way
One Love Vegetarian,820,Vegan and Vegetarian Restaurant,43.666753,-79.412046,8.4,51.0,,"854 Bathurst St (at London St), Toronto ON M5R 3G3",(416) 535-5683,(goddayspiritualhome@gmail.com OR whats app +2349018437588) is the solution to solve any love/spiritual problems,Mon-Fri 11:00-21:00; Sat 11:00-19:00,Yarmouth Rd / Christie St
Annapurna Vegetarian Restaurant,625,Indian,43.672732,-79.413984,7.2,11.0,,"1085 Bathurst St, Toronto ON M5R 3G8",(416) 537-8513,"One of the best restaurants I've ever been to. The atmosphere is relaxing, I love the incense. The sampler is my favorite with samosas. They are the most delicious samosas I've ever had.",Mon-Tue 11:30-21:00; Thu-Sat 11:30-21:00,Yarmouth Rd / Christie St
Grapefruit Moon,626,Diner,43.669703,-79.413173,7.1,84.0,,"968 Bathurst St (Follis Ave), Toronto ON M5R 3G6",(416) 534-9056,"It's hard to find a good breakfast spot in Toronto, even though there's no shortage of them. The Eggs Benedict is a must as a first timer. Be sure to try the Moon Breakfast too. 🍳🥓",Open Daily 9:00-23:59,Yarmouth Rd / Christie St
Ghazale Restaurant,991,Falafel,43.665418,-79.410336,7.0,34.0,,"504 Bloor St W (btwn Bathurst & Lippincott), Toronto ON M5S 1Y3",(416) 537-4417,Really enjoyed the chicken shwarma!,"Mon-Thu 00:00-3:30, 9:00-23:59; Fri-Sun 9:00-23:59",Yarmouth Rd / Christie St
Toronto Public Library - Palmerston Branch,776,Library,43.665201,-79.41409,6.1,8.0,,"560 Palmerston Ave (at Bloor St. W), Toronto ON M6G 2P7",(416) 393-7680,Not enough computers.,Mon 10:00-20:30; Tue 12:30-20:30; Wed 10:00-18:00; Thu 12:30-20:30; Fri 10:00-18:00; Sat 9:00-17:00,Yarmouth Rd / Christie St
Poop Cafe,737,Café,43.663919,-79.417813,5.5,39.0,,"706 Bloor St W, Toronto ON M6G 1L4",(416) 535-7667,"long waiting time, but it is worth visiting once. decorations are funny and they have good selection of ice-creams, waffles and teas",Open Daily 11:00-22:00,Yarmouth Rd / Christie St
Toronto Public Library,791,Library,43.664934,-79.413907,,,,"2560 Palmerston Ave, Toronto ON M6G 2P7",(416) 393-7680,,Mon 10:00-20:30; Tue 12:30-20:30; Wed 10:00-18:00; Thu 12:30-20:30; Fri 10:00-18:00; Sat 9:00-17:00,Yarmouth Rd / Christie St
Toronto Public Library,887,Library,43.674601,-79.428409,,,,"1246 Shaw St, Toronto ON M6G 3P1",(416) 393-7732,"Very tiny library, but the staff are lovely.",Tue 12:30-20:30; Wed 10:00-18:00; Thu 12:30-20:30; Fri 10:00-18:00; Sat 9:00-17:00,Yarmouth Rd / Christie St
One Love Vegetarian,649,Vegan and Vegetarian Restaurant,43.666753,-79.412046,8.4,51.0,,"854 Bathurst St (at London St), Toronto ON M5R 3G3",(416) 535-5683,(goddayspiritualhome@gmail.com OR whats app +2349018437588) is the solution to solve any love/spiritual problems,Mon-Fri 11:00-21:00; Sat 11:00-19:00,Palmerston Ave / Vermont Ave
Annapurna Vegetarian Restaurant,242,Indian,43.672732,-79.413984,7.2,11.0,,"1085 Bathurst St, Toronto ON M5R 3G8",(416) 537-8513,"One of the best restaurants I've ever been to. The atmosphere is relaxing, I love the incense. The sampler is my favorite with samosas. They are the most delicious samosas I've ever had.",Mon-Tue 11:30-21:00; Thu-Sat 11:30-21:00,Palmerston Ave / Vermont Ave
Grapefruit Moon,330,Diner,43.669703,-79.413173,7.1,84.0,,"968 Bathurst St (Follis Ave), Toronto ON M5R 3G6",(416) 534-9056,"It's hard to find a good breakfast spot in Toronto, even though there's no shortage of them. The Eggs Benedict is a must as a first timer. Be sure to try the Moon Breakfast too. 🍳🥓",Open Daily 9:00-23:59,Palmerston Ave / Vermont Ave
Ghazale Restaurant,831,Falafel,43.665418,-79.410336,7.0,34.0,,"504 Bloor St W (btwn Bathurst & Lippincott), Toronto ON M5S 1Y3",(416) 537-4417,Really enjoyed the chicken shwarma!,"Mon-Thu 00:00-3:30, 9:00-23:59; Fri-Sun 9:00-23:59",Palmerston Ave / Vermont Ave
Toronto Public Library - Palmerston Branch,728,Library,43.665201,-79.41409,6.1,8.0,,"560 Palmerston Ave (at Bloor St. W), Toronto ON M6G 2P7",(416) 393-7680,Not enough computers.,Mon 10:00-20:30; Tue 12:30-20:30; Wed 10:00-18:00; Thu 12:30-20:30; Fri 10:00-18:00; Sat 9:00-17:00,Palmerston Ave / Vermont Ave
Toronto Public Library,744,Library,43.664934,-79.413907,,,,"2560 Palmerston Ave, Toronto ON M6G 2P7",(416) 393-7680,,Mon 10:00-20:30; Tue 12:30-20:30; Wed 10:00-18:00; Thu 12:30-20:30; Fri 10:00-18:00; Sat 9:00-17:00,Palmerston Ave / Vermont Ave
Poop Cafe,851,Café,43.663919,-79.417813,5.5,39.0,,"706 Bloor St W, Toronto ON M6G 1L4",(416) 535-7667,"long waiting time, but it is worth visiting once. decorations are funny and they have good selection of ice-creams, waffles and teas",Open Daily 11:00-22:00,Palmerston Ave / Vermont Ave
Kensington Natural Bakery,864,Bakery,43.665721,-79.409262,,,,"460 Bloor St W, Toronto ON M5S 1X8",(416) 534-1294,"Vegan, gluten-free, sugar-free baked goods- lots of them! The shop itself is okay but the products are very cheap and tasty",Open Daily 10:00-21:00,Palmerston Ave / Vermont Ave
Tenon Vegan Sushi,930,Sushi,43.665711,-79.407858,,,,"487 Bloor St W (Brunswick Avenue), Toronto ON M5S 1Y2",(416) 975-5555,,Open Daily 11:00-22:00,Palmerston Ave / Vermont Ave
Toronto Zine Library,976,Library,43.665293,-79.407417,,,,"292 Brunswick Ave (South of Bloor), Toronto ON M5S 2M7",(416) 923-8137,,Tue 18:00-20:00; Wed 19:00-21:00; Sun 13:00-15:00,Palmerston Ave / Vermont Ave
Krave Coffee,364,Café,43.680726,-79.42911,7.5,28.0,,"781 Saint Clair Ave W, Toronto ON M6C 1B7",(416) 652-9929,"Coffee is great, but juice bar next door is a gem",Mon-Fri 7:00-19:00; Sat 8:00-18:00; Sun 8:00-17:00,Christie St / Benson Ave (Wychwood Barns)
Toronto Public Library,626,Library,43.682183,-79.417601,6.3,10.0,,"1431 Bathurst St (at Melgund Rd.), Toronto ON M5R 3J2",(416) 393-7683,New renovation is fantastic,Mon-Thu 9:00-20:30; Fri-Sat 9:00-17:00,Christie St / Benson Ave (Wychwood Barns)
Toronto Public Library,810,Library,43.674601,-79.428409,,,,"1246 Shaw St, Toronto ON M6G 3P1",(416) 393-7732,"Very tiny library, but the staff are lovely.",Tue 12:30-20:30; Wed 10:00-18:00; Thu 12:30-20:30; Fri 10:00-18:00; Sat 9:00-17:00,Christie St / Benson Ave (Wychwood Barns)
The Sharing Depot,502,Library,43.680859,-79.431143,,,,"1803 Danforth Ave, Toronto ON",(647) 498-4087,,Tue 15:00-20:00; Thu 15:00-20:00; Fri 17:00-21:00; Sat 10:00-15:00; Sun 11:00-16:00,Christie St / Benson Ave (Wychwood Barns)
Hello 123,447,Vegan and Vegetarian Restaurant,43.643408,-79.423508,8.4,36.0,a full-service vegan restaurant from the team behind Kupfert & Kim,"1122 Queen St W, Toronto ON M6J 1H9",(416) 532-3555,Salad bowls are really good…they serve the tofu and seared tempeh nice and hot! Service is great too.,"Mon-Fri 11:00-16:00, 17:00-21:30; Sat-Sun 10:00-16:00, 17:00-21:30",King St W / Fraser Ave
Om Restaurant,1012,South Indian,43.640255,-79.437492,7.7,39.0,,"1439 Queen St W, Toronto ON M6R 1A1",(416) 532-3901,Chicken Momos and Chow Mein absolutely rock. Ask for the spicy sauce to make it even better!,"Tue-Fri 11:00-15:00, 17:00-22:00; Sat 10:00-23:00; Sun 10:00-22:00",King St W / Fraser Ave
Toronto Public Library,630,Library,43.641226,-79.432647,7.1,11.0,,"1303 Queen St W (at Cowan Ave.), Toronto ON M6K 1L6",(416) 393-7686,"Free passes to Toronto's top museums, art galleries and attractions. Every library, every Saturday at 9am (line-up starts at 8:30). http://www.torontopubliclibrary.ca/museum-arts-passes/",Mon-Fri 9:00-20:30; Sat 9:00-17:00; Sun 13:30-17:00,King St W / Fraser Ave
Copenhagen Vegan Cafe & Bakery,535,Bakery,43.64202,-79.430998,,,,"1312 Queen St W, Toronto ON M6K 1L4",(647) 352-1312,Try the Egg and Mushroom English Muffin!,Mon 11:00-20:00; Wed-Fri 11:00-20:00; Sat-Sun 10:00-20:00,King St W / Fraser Ave
Fat Choi,889,Vegan and Vegetarian Restaurant,43.646367,-79.419868,,,,"94 Ossington Ave, Toronto ON M6J 2Z4",(416) 901-7667,,Mon 17:00-21:30; Tue-Wed 17:00-22:00; Thu-Fri 17:00-23:00; Sat 17:00-21:00; Sun 17:00-21:30,King St W / Fraser Ave
Oasis Pictures,438,Library,43.636274,-79.422039,,,,"6 Pardee Ave, Toronto ON M6K 3H5",(416) 588-6595,,,King St W / Fraser Ave
Annapurna Vegetarian Restaurant,660,Indian,43.672732,-79.413984,7.2,11.0,,"1085 Bathurst St, Toronto ON M5R 3G8",(416) 537-8513,"One of the best restaurants I've ever been to. The atmosphere is relaxing, I love the incense. The sampler is my favorite with samosas. They are the most delicious samosas I've ever had.",Mon-Tue 11:30-21:00; Thu-Sat 11:30-21:00,Macpherson Ave / Spadina Rd
Govinda's,820,Buffet,43.676941,-79.397023,7.2,18.0,,"243 Ave Rd (DuPont), Toronto ON M5R 2J6",(888) 218-1040,"Went here with a groupon and was not disappointed. Very cool atmosphere, great hosts, and delicious vegan food.","Open Daily 12:00-14:30, 18:00-20:30",Macpherson Ave / Spadina Rd
Grapefruit Moon,837,Diner,43.669703,-79.413173,7.1,84.0,,"968 Bathurst St (Follis Ave), Toronto ON M5R 3G6",(416) 534-9056,"It's hard to find a good breakfast spot in Toronto, even though there's no shortage of them. The Eggs Benedict is a must as a first timer. Be sure to try the Moon Breakfast too. 🍳🥓",Open Daily 9:00-23:59,Macpherson Ave / Spadina Rd
Toronto Public Library,912,Library,43.66769,-79.404573,,,,"10 Spadina Rd (Bloor St W), Toronto ON M5R 2S7",(416) 393-7666,"Only branch I've seen that has a native music rack and a prominent VHS collection. Plus, suspiciously good '80s hip hop selection.",Tue 12:30-20:30; Wed 10:00-18:00; Thu 12:30-20:30; Fri 10:00-18:00; Sat 9:00-17:00,Macpherson Ave / Spadina Rd
OISE Parking Garage,992,Library,43.669354,-79.398665,,,,"252 Bloor St W (1 Block North off Prince Arthur), Toronto ON M5S 1V6",(416) 978-1850,,,Macpherson Ave / Spadina Rd
One Love Vegetarian,1003,Vegan and Vegetarian Restaurant,43.666753,-79.412046,8.4,51.0,,"854 Bathurst St (at London St), Toronto ON M5R 3G3",(416) 535-5683,(goddayspiritualhome@gmail.com OR whats app +2349018437588) is the solution to solve any love/spiritual problems,Mon-Fri 11:00-21:00; Sat 11:00-19:00,Bridgman Ave / Kendal Ave
Annapurna Vegetarian Restaurant,432,Indian,43.672732,-79.413984,7.2,11.0,,"1085 Bathurst St, Toronto ON M5R 3G8",(416) 537-8513,"One of the best restaurants I've ever been to. The atmosphere is relaxing, I love the incense. The sampler is my favorite with samosas. They are the most delicious samosas I've ever had.",Mon-Tue 11:30-21:00; Thu-Sat 11:30-21:00,Bridgman Ave / Kendal Ave
Grapefruit Moon,691,Diner,43.669703,-79.413173,7.1,84.0,,"968 Bathurst St (Follis Ave), Toronto ON M5R 3G6",(416) 534-9056,"It's hard to find a good breakfast spot in Toronto, even though there's no shortage of them. The Eggs Benedict is a must as a first timer. Be sure to try the Moon Breakfast too. 🍳🥓",Open Daily 9:00-23:59,Bridgman Ave / Kendal Ave
Toronto Public Library,940,Library,43.682183,-79.417601,6.3,10.0,,"1431 Bathurst St (at Melgund Rd.), Toronto ON M5R 3J2",(416) 393-7683,New renovation is fantastic,Mon-Thu 9:00-20:30; Fri-Sat 9:00-17:00,Bridgman Ave / Kendal Ave
Toronto Public Library,984,Library,43.66769,-79.404573,,,,"10 Spadina Rd (Bloor St W), Toronto ON M5R 2S7",(416) 393-7666,"Only branch I've seen that has a native music rack and a prominent VHS collection. Plus, suspiciously good '80s hip hop selection.",Tue 12:30-20:30; Wed 10:00-18:00; Thu 12:30-20:30; Fri 10:00-18:00; Sat 9:00-17:00,Bridgman Ave / Kendal Ave
One Love Vegetarian,904,Vegan and Vegetarian Restaurant,43.666753,-79.412046,8.4,51.0,,"854 Bathurst St (at London St), Toronto ON M5R 3G3",(416) 535-5683,(goddayspiritualhome@gmail.com OR whats app +2349018437588) is the solution to solve any love/spiritual problems,Mon-Fri 11:00-21:00; Sat 11:00-19:00,Bridgman Ave / Bathurst St
Annapurna Vegetarian Restaurant,189,Indian,43.672732,-79.413984,7.2,11.0,,"1085 Bathurst St, Toronto ON M5R 3G8",(416) 537-8513,"One of the best restaurants I've ever been to. The atmosphere is relaxing, I love the incense. The sampler is my favorite with samosas. They are the most delicious samosas I've ever had.",Mon-Tue 11:30-21:00; Thu-Sat 11:30-21:00,Bridgman Ave / Bathurst St
Grapefruit Moon,548,Diner,43.669703,-79.413173,7.1,84.0,,"968 Bathurst St (Follis Ave), Toronto ON M5R 3G6",(416) 534-9056,"It's hard to find a good breakfast spot in Toronto, even though there's no shortage of them. The Eggs Benedict is a must as a first timer. Be sure to try the Moon Breakfast too. 🍳🥓",Open Daily 9:00-23:59,Bridgman Ave / Bathurst St
Toronto Public Library,882,Library,43.682183,-79.417601,6.3,10.0,,"1431 Bathurst St (at Melgund Rd.), Toronto ON M5R 3J2",(416) 393-7683,New renovation is fantastic,Mon-Thu 9:00-20:30; Fri-Sat 9:00-17:00,Bridgman Ave / Bathurst St
Fresh on Bloor,655,Vegan and Vegetarian Restaurant,43.666876,-79.403414,8.8,380.0,Follow us on Twitter at: @FreshOnBloor,"326 Bloor St W, Toronto ON M5S 1W5",(416) 599-4442,"Not vegetarian/vegan but this is always one spots I come with my vegetarian friends. Food is good and healthy. Today I had a chipotle burger,  sweet potato fries and a strawberry swirl smoothie.",Mon-Fri 11:30-22:00; Sat-Sun 10:30-22:00,Kendal Ave / Bernard Ave
One Love Vegetarian,613,Vegan and Vegetarian Restaurant,43.666753,-79.412046,8.4,51.0,,"854 Bathurst St (at London St), Toronto ON M5R 3G3",(416) 535-5683,(goddayspiritualhome@gmail.com OR whats app +2349018437588) is the solution to solve any love/spiritual problems,Mon-Fri 11:00-21:00; Sat 11:00-19:00,Kendal Ave / Bernard Ave
Annapurna Vegetarian Restaurant,485,Indian,43.672732,-79.413984,7.2,11.0,,"1085 Bathurst St, Toronto ON M5R 3G8",(416) 537-8513,"One of the best restaurants I've ever been to. The atmosphere is relaxing, I love the incense. The sampler is my favorite with samosas. They are the most delicious samosas I've ever had.",Mon-Tue 11:30-21:00; Thu-Sat 11:30-21:00,Kendal Ave / Bernard Ave
Grapefruit Moon,432,Diner,43.669703,-79.413173,7.1,84.0,,"968 Bathurst St (Follis Ave), Toronto ON M5R 3G6",(416) 534-9056,"It's hard to find a good breakfast spot in Toronto, even though there's no shortage of them. The Eggs Benedict is a must as a first timer. Be sure to try the Moon Breakfast too. 🍳🥓",Open Daily 9:00-23:59,Kendal Ave / Bernard Ave
Ghazale Restaurant,706,Falafel,43.665418,-79.410336,7.0,34.0,,"504 Bloor St W (btwn Bathurst & Lippincott), Toronto ON M5S 1Y3",(416) 537-4417,Really enjoyed the chicken shwarma!,"Mon-Thu 00:00-3:30, 9:00-23:59; Fri-Sun 9:00-23:59",Kendal Ave / Bernard Ave
Toronto Public Library - Palmerston Branch,847,Library,43.665201,-79.41409,6.1,8.0,,"560 Palmerston Ave (at Bloor St. W), Toronto ON M6G 2P7",(416) 393-7680,Not enough computers.,Mon 10:00-20:30; Tue 12:30-20:30; Wed 10:00-18:00; Thu 12:30-20:30; Fri 10:00-18:00; Sat 9:00-17:00,Kendal Ave / Bernard Ave
Toronto Public Library,521,Library,43.66769,-79.404573,,,,"10 Spadina Rd (Bloor St W), Toronto ON M5R 2S7",(416) 393-7666,"Only branch I've seen that has a native music rack and a prominent VHS collection. Plus, suspiciously good '80s hip hop selection.",Tue 12:30-20:30; Wed 10:00-18:00; Thu 12:30-20:30; Fri 10:00-18:00; Sat 9:00-17:00,Kendal Ave / Bernard Ave
Freshii,597,Salad,43.666310346216,-79.406417764418,,,,"382 Bloor Street W, Toronto ON M5S 1X2",(647) 793-6309,A little overpriced but it does the trick,Mon-Fri 10:00-21:00; Sat-Sun 11:00-21:00,Kendal Ave / Bernard Ave
Haven - Plant Based Eatery,600,Vegan and Vegetarian Restaurant,43.666466,-79.405968,,,Seriously...It's not Meat!,"366 Bloor St W, Toronto ON M5S 1X2",(289) 608-7370,,Mon-Thu 16:00-21:30; Fri-Sun 11:30-21:30,Kendal Ave / Bernard Ave
Tenon Vegan Sushi,640,Sushi,43.665711,-79.407858,,,,"487 Bloor St W (Brunswick Avenue), Toronto ON M5S 1Y2",(416) 975-5555,,Open Daily 11:00-22:00,Kendal Ave / Bernard Ave
Fresh on Danforth,421,Vegan and Vegetarian Restaurant,43.677543,-79.353056,,,,"320 Danforth Ave (Jackman Avenue), Toronto ON M4K 1N8",(416) 599-4442,,Mon-Fri 11:00-22:00; Sat-Sun 10:30-22:00,Pretoria Ave / Broadview Ave
Freshii,640,Salad,43.67771616721494,-79.3502978763366,,,,"457 Danforth Ave (Logan), Toronto ON M4K 1P1",(437) 317-5469,,Mon-Fri 10:30-20:00; Sat-Sun 11:00-20:00,Pretoria Ave / Broadview Ave
Fresh on Danforth,866,Vegan and Vegetarian Restaurant,43.677543,-79.353056,,,,"320 Danforth Ave (Jackman Avenue), Toronto ON M4K 1N8",(416) 599-4442,,Mon-Fri 11:00-22:00; Sat-Sun 10:30-22:00,Broadview Ave / Westwood Ave
Toronto Public Library,931,Library,43.69162,-79.349393,,,,"1081 1/2 Pape Ave (Torrens), Toronto ON M4K 3W6",(416) 396-3875,,Tue 12:30-20:30; Wed 9:00-17:00; Thu 12:30-20:30; Sat 9:00-17:00,Broadview Ave / Westwood Ave
Freshii,942,Salad,43.67771616721494,-79.3502978763366,,,,"457 Danforth Ave (Logan), Toronto ON M4K 1P1",(437) 317-5469,,Mon-Fri 10:30-20:00; Sat-Sun 11:00-20:00,Broadview Ave / Westwood Ave
East York Library,961,Library,43.691836,-79.349521,,,,"1081 Pape Ave, East York ON M4K 3W4",(416) 396-3875,,,Broadview Ave / Westwood Ave
Toronto Public Library,629,Library,43.678608,-79.344525,7.6,14.0,,"701 Pape Ave (at Danforth Ave), Toronto ON M4K 3S6",(416) 393-7727,After you load money in your library card you can take printout,Mon-Fri 9:00-20:30; Sat 9:00-17:00; Sun 13:30-17:00,Fulton Ave / Pape Ave
Green Earth Vegetarin Cuisine in Toronto,657,Vegan and Vegetarian Restaurant,43.679782,-79.341483,,,,"804 Danforth Ave, Toronto ON M4J 1L6",(416) 778-9199,Not licensed to serve alcohol.,Mon-Fri 10:00-19:00; Sat-Sun 9:00-18:00,Fulton Ave / Pape Ave
Freshii,740,Salad,43.67771616721494,-79.3502978763366,,,,"457 Danforth Ave (Logan), Toronto ON M4K 1P1",(437) 317-5469,,Mon-Fri 10:30-20:00; Sat-Sun 11:00-20:00,Fulton Ave / Pape Ave
Toronto Public Library,854,Library,43.69162,-79.349393,,,,"1081 1/2 Pape Ave (Torrens), Toronto ON M4K 3W6",(416) 396-3875,,Tue 12:30-20:30; Wed 9:00-17:00; Thu 12:30-20:30; Sat 9:00-17:00,Fulton Ave / Pape Ave
Fresh on Danforth,866,Vegan and Vegetarian Restaurant,43.677543,-79.353056,,,,"320 Danforth Ave (Jackman Avenue), Toronto ON M4K 1N8",(416) 599-4442,,Mon-Fri 11:00-22:00; Sat-Sun 10:30-22:00,Fulton Ave / Pape Ave
East York Library,898,Library,43.691836,-79.349521,,,,"1081 Pape Ave, East York ON M4K 3W4",(416) 396-3875,,,Fulton Ave / Pape Ave
East York S Walter Stewart Lib,952,Library,43.692153,-79.329545,6.1,14.0,,"170 Memorial Park Ave, Toronto ON M4J 2K5",(416) 396-3975,So. Many. Movies.,Mon-Fri 9:00-20:30; Sat 9:00-17:00; Sun 13:30-17:00,Cosburn Ave / Donlands Ave
Toronto Public Library,659,Library,43.69162,-79.349393,,,,"1081 1/2 Pape Ave (Torrens), Toronto ON M4K 3W6",(416) 396-3875,,Tue 12:30-20:30; Wed 9:00-17:00; Thu 12:30-20:30; Sat 9:00-17:00,Cosburn Ave / Donlands Ave
Toronto Public Library,1007,Library,43.692147,-79.329638,,,,"170 Memorial Park Ave, Toronto ON M4J 2K5",(416) 396-3975,,Mon-Fri 9:00-20:30; Sat 9:00-17:00; Sun 13:30-17:00,Cosburn Ave / Donlands Ave
East York Library,675,Library,43.691836,-79.349521,,,,"1081 Pape Ave, East York ON M4K 3W4",(416) 396-3875,,,Cosburn Ave / Donlands Ave
Toronto Public Library,323,Library,43.702344,-79.420687,,,,"700 Eglinton Ave W (Vesta Dr.), Toronto ON M5N 1B9",(416) 393-7706,This is near the Forest Hill Collegiate,Mon-Thu 9:00-20:30; Fri-Sat 9:00-17:00,Beltline Trail / Chaplin Cres
Plant Lyfe,791,Vegan and Vegetarian Restaurant,43.661309,-79.338419,,,,"955 Queen St E, Toronto ON M4M 3P3",(416) 462-0490,,Open Daily 9:00-16:00,Lake Shore Blvd E / Leslie St
Toronto Public Library,865,Library,43.665926,-79.334333,,,,"118 Jones Ave (Dundas), Toronto ON M4M 2Z9",(416) 393-7715,Me gusta mucho libro,Mon 10:00-18:00; Tue 10:00-20:30; Wed-Thu 12:30-20:30; Fri 10:00-18:00; Sat 9:00-17:00,Lake Shore Blvd E / Leslie St
Fresh Kitchen + Juice Bar Front,891,Vegan and Vegetarian Restaurant,43.647823,-79.374336,8.9,19.0,,"47 Front St E (Church Street), Toronto ON M5E 1B3",(647) 693-7556,Buffalo cauliflower. Got tons of zing!,Mon-Fri 11:00-22:00; Sat-Sun 10:30-22:00,King St E / Berkeley St
Toronto Public Library - St. Lawrence Branch,343,Library,43.649943,-79.368316,5.7,13.0,,"171 Front St E, Toronto ON M5A 4H3",(416) 393-7655,There’s a big silver drop-off box on Front St. which will save you valuable seconds if you are returning something.,Mon 10:00-20:30; Tue 12:30-20:30; Wed 10:00-18:00; Thu 12:30-20:30; Fri 10:00-18:00; Sat 9:00-17:00,King St E / Berkeley St
ABS-CBN Canada - ULC,291,Library,43.653589,-79.366791,,,,"411 Richmond St E, Toronto ON M5A 3S5",(800) 345-2465,,,King St E / Berkeley St
Freshii,816,Fast Food,43.650029,-79.374874,6.0,33.0,,"92 King St E (at Church St), Toronto ON M5C 2V8",(647) 344-5017,Quick and heathy. Can't go wrong with any of the bowls! Recommend the Pangoa.,Mon-Fri 10:00-21:00; Sat 11:00-19:00,King St E / Berkeley St
Mavericks Burger Co,776,Vegan and Vegetarian Restaurant,43.645,-79.364492,,,,"1 Young St, Toronto ON M5A 0N8",,,,King St E / Berkeley St
Copper Branch,779,Vegan and Vegetarian Restaurant,43.653628,-79.35539,,,,"470 Front St E, Toronto ON M5A 0E6",(647) 641-1588,,Tue-Sun 11:30-19:30,King St E / Berkeley St
London on the Esplanade Library,815,Library,43.647012,-79.374675,,,,"38 the Esplanade (in London On The Esplanade), Toronto ON M5E 1A5",,Good place to study. Long table.,,King St E / Berkeley St
Ontario Library Assn,674,Library,43.652109,-79.373288,,,,"100 Lombard St, Toronto ON M5C 1M3",(416) 363-3388,,,King St E / Berkeley St
National Reading Campaign,952,Publisher,43.649752,-79.376372,,,,"2 Toronto St, Toronto ON M5C 2B6",(416) 949-9947,,,King St E / Berkeley St
Hello 123,900,Vegan and Vegetarian Restaurant,43.643408,-79.423508,8.4,36.0,a full-service vegan restaurant from the team behind Kupfert & Kim,"1122 Queen St W, Toronto ON M6J 1H9",(416) 532-3555,Salad bowls are really good…they serve the tofu and seared tempeh nice and hot! Service is great too.,"Mon-Fri 11:00-16:00, 17:00-21:30; Sat-Sun 10:00-16:00, 17:00-21:30",Mary McCormick Rec Centre (Sheridan Ave)
The Goods,752,Vegan and Vegetarian Restaurant,43.64925,-79.424209,8.1,22.0,,"1255 Dundas St W (Dovercourt), Toronto ON M6J 1X6",(647) 340-4663,A fantastic spot for a healthy take-out meal. Get the spicy chocolate shake and the Green Goddess bowl. They also cater office lunches.,Mon-Fri 8:00-20:00; Sat-Sun 11:00-18:00,Mary McCormick Rec Centre (Sheridan Ave)
Gia,832,Vegan and Vegetarian Restaurant,43.649508,-79.422988,7.8,9.0,,"1214 Dundas St W, Toronto ON M6J 1X5",(416) 535-8888,"The tiramisu is tasty, but it's not tiramisu. It's coconut pie in disguise.",Mon-Sat 18:00-22:00,Mary McCormick Rec Centre (Sheridan Ave)
E.L. Ruddy,477,Vegan and Vegetarian Restaurant,43.649386,-79.427737,7.4,22.0,,"1371 Dundas St W (Beaconsfield), Toronto ON M6J 1Y3",(647) 351-0423,The budget is forgettable.,Open Daily 00:00-2:00,Mary McCormick Rec Centre (Sheridan Ave)
Om Restaurant,883,South Indian,43.640255,-79.437492,7.7,39.0,,"1439 Queen St W, Toronto ON M6R 1A1",(416) 532-3901,Chicken Momos and Chow Mein absolutely rock. Ask for the spicy sauce to make it even better!,"Tue-Fri 11:00-15:00, 17:00-22:00; Sat 10:00-23:00; Sun 10:00-22:00",Mary McCormick Rec Centre (Sheridan Ave)
Toronto Public Library,695,Library,43.641226,-79.432647,7.1,11.0,,"1303 Queen St W (at Cowan Ave.), Toronto ON M6K 1L6",(416) 393-7686,"Free passes to Toronto's top museums, art galleries and attractions. Every library, every Saturday at 9am (line-up starts at 8:30). http://www.torontopubliclibrary.ca/museum-arts-passes/",Mon-Fri 9:00-20:30; Sat 9:00-17:00; Sun 13:30-17:00,Mary McCormick Rec Centre (Sheridan Ave)
Good Rebel,299,Deli,43.649716,-79.434755,,,,"1591 Dundas St W, Toronto ON M6K 1T9",(647) 344-9411,,Mon-Sat 11:00-19:00; Sun 11:00-18:00,Mary McCormick Rec Centre (Sheridan Ave)
